order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,sls_price
SO43697,20,10769,2010-12-29,2011-01-05,2011-01-10,3578.0,1,3578.0
SO43698,9,17390,2010-12-29,2011-01-05,2011-01-10,3400.0,1,3400.0
SO43699,9,14864,2010-12-29,2011-01-05,2011-01-10,3400.0,1,3400.0
SO43700,48,3502,2010-12-29,2011-01-05,2011-01-10,699.0,1,699.0
SO43701,9,4,2010-12-29,2011-01-05,2011-01-10,3400.0,1,3400.0
SO43702,16,16646,2010-12-30,2011-01-06,2011-01-11,3578.0,1,3578.0
SO43703,20,5625,2010-12-30,2011-01-06,2011-01-11,3578.0,1,3578.0
SO43704,6,6,2010-12-30,2011-01-06,2011-01-11,3375.0,1,3375.0
SO43705,7,12,2010-12-30,2011-01-06,2011-01-11,3400.0,1,3400.0
SO43706,17,16622,2010-12-31,2011-01-07,2011-01-12,3578.0,1,3578.0
SO43707,17,16617,2010-12-31,2011-01-07,2011-01-12,3578.0,1,3578.0
SO43708,51,9043,2010-12-31,2011-01-07,2011-01-12,699.0,1,699.0
SO43709,18,5352,2010-12-31,2011-01-07,2011-01-12,3578.0,1,3578.0
SO43710,19,5518,2010-12-31,2011-01-07,2011-01-12,3578.0,1,3578.0
SO43711,19,16607,2011-01-01,2011-01-08,2011-01-13,3578.0,1,3578.0
SO43712,16,2514,2011-01-01,2011-01-08,2011-01-13,3578.0,1,3578.0
SO43713,20,16602,2011-01-02,2011-01-09,2011-01-14,3578.0,1,3578.0
SO43714,16,2592,2011-01-02,2011-01-09,2011-01-14,3578.0,1,3578.0
SO43715,19,5484,2011-01-02,2011-01-09,2011-01-14,3578.0,1,3578.0
SO43716,16,5530,2011-01-02,2011-01-09,2011-01-14,3578.0,1,3578.0
SO43717,48,14250,2011-01-02,2011-01-09,2011-01-14,699.0,1,699.0
SO43718,16,16669,2011-01-03,2011-01-10,2011-01-15,3578.0,1,3578.0
SO43719,17,16613,2011-01-03,2011-01-10,2011-01-15,3578.0,1,3578.0
