order_month,product_key,product_number,product_name,category,subcategory,sales_line_count,order_count,units_sold,gross_sales_amount,weighted_avg_unit_price,min_unit_price,max_unit_price
2010-12-01,6,BK-M82B-48,Mountain-100 Black- 48,Bikes,Mountain Bikes,1,1,1,3375.0,3375.0,3375.0,3375.0
2010-12-01,7,BK-M82S-38,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1,1,1,3400.0,3400.0,3400.0,3400.0
2010-12-01,9,BK-M82S-44,Mountain-100 Silver- 44,Bikes,Mountain Bikes,3,3,3,10200.0,3400.0,3400.0,3400.0
2010-12-01,16,BK-R93R-44,Road-150 Red- 44,Bikes,Road Bikes,1,1,1,3578.0,3578.0,3578.0,3578.0
2010-12-01,17,BK-R93R-48,Road-150 Red- 48,Bikes,Road Bikes,2,2,2,7156.0,3578.0,3578.0,3578.0
2010-12-01,18,BK-R93R-52,Road-150 Red- 52,Bikes,Road Bikes,1,1,1,3578.0,3578.0,3578.0,3578.0
2010-12-01,19,BK-R93R-56,Road-150 Red- 56,Bikes,Road Bikes,1,1,1,3578.0,3578.0,3578.0,3578.0
2010-12-01,20,BK-R93R-62,Road-150 Red- 62,Bikes,Road Bikes,2,2,2,7156.0,3578.0,3578.0,3578.0
2010-12-01,48,BK-R50B-62,Road-650 Black- 62,Bikes,Road Bikes,1,1,1,699.0,699.0,699.0,699.0
2010-12-01,51,BK-R50R-52,Road-650 Red- 52,Bikes,Road Bikes,1,1,1,699.0,699.0,699.0,699.0
2011-01-01,3,BK-M82B-38,Mountain-100 Black- 38,Bikes,Mountain Bikes,3,3,3,10125.0,3375.0,3375.0,3375.0
2011-01-01,4,BK-M82B-42,Mountain-100 Black- 42,Bikes,Mountain Bikes,1,1,1,3375.0,3375.0,3375.0,3375.0
2011-01-01,5,BK-M82B-44,Mountain-100 Black- 44,Bikes,Mountain Bikes,6,6,6,20250.0,3375.0,3375.0,3375.0
2011-01-01,6,BK-M82B-48,Mountain-100 Black- 48,Bikes,Mountain Bikes,3,3,3,10125.0,3375.0,3375.0,3375.0
2011-01-01,7,BK-M82S-38,Mountain-100 Silver- 38,Bikes,Mountain Bikes,3,3,3,10200.0,3400.0,3400.0,3400.0
2011-01-01,8,BK-M82S-42,Mountain-100 Silver- 42,Bikes,Mountain Bikes,2,2,2,6800.0,3400.0,3400.0,3400.0
2011-01-01,9,BK-M82S-44,Mountain-100 Silver- 44,Bikes,Mountain Bikes,6,6,6,20400.0,3400.0,3400.0,3400.0
2011-01-01,10,BK-M82S-48,Mountain-100 Silver- 48,Bikes,Mountain Bikes,3,3,3,10200.0,3400.0,3400.0,3400.0
2011-01-01,16,BK-R93R-44,Road-150 Red- 44,Bikes,Road Bikes,22,22,22,78716.0,3578.0,3578.0,3578.0
